,,,,129,Majengo Mapya
,,15,Igoma,130,Igoma Mashariki
,,,,131,Igoma Magharibi A
,,,,132,Igoma Magharibi B 
,,,,133,Igoma Kati
,,,,134,Mwembeni
,,,,135,Shamaliwa A
,,,,136,Shamaliwa  B
,,,,137,Mtakuja 
,,,,138,Kakebe
,,,,139,Kilimo A
,,,,140,Kilimo B
,,,,141,Mkapa
,,,,142,Dk. Shein
,,,,143,Kikwete
,,,,144,Mandela
,,,,145,Nyerere
,,16,Kishili,146,Kanindo
,,,,147,Bukaga
,,,,148,Ihushi
,,,,149,Kishili A
,,,,150,Kishili B
,,,,151,Kanenwa
,,,,152,Fumagila Mashariki
,,,,153,Fumagila Magharibi
,,,,154,Ndofe
,,,,155,Mbugani
,,17,Mahina,156,Bugarika
,,,,157,Mahina Kati
,,,,158,Mwananchi
,,,,159,Mahina
,,,,160,Nyangulugulu
,,,,161,Kagomu
,,,,162,Ipuli
,,,,163,Igelegele
,,,,164,Susuni
,,18,Mhandu,165,Kasota
,,,,166,Sokoni
,,,,167,Kisiwani
,,,,168,Shigunga
,,,,169,Mahango
,,,,170,Temeke
,,,,171,Maswa Mashariki
,,,,172,Maswa Magharibi
,,,,173,Mhandu
,,,,174,Isengeng'he A
,,,,175,Isengeng'he B
,,18,,175,
2,,37,,346,
,,,,,
,,,,,…………………………………………….
DODOMA,,,,,Dkt. Charles E. Mhina
"Juni, 2019",,,,,MSAJILI WA VIJIJI
