CHEMBA DISTRICT COUNCIL ,,,,,,,,
TARAFA,NO,KATA,NO,KIJIJI,NO,VITONGOJI,NO ,Health facility 
,,,,,263,Tamka,,
,,,64,Ndoroboni,264,Ndoroboni kati,,
,,,,,265,Mauzi,,
,,,65,Mialo,266,Mialo,,
,,,,,267,Kundese,,
,,,,,268,Mkinki,,
,16,Sanzawa,66,Gumbu,269,Gumbu kati,,Motto disp
,,,,,270,Dedu,,
,,,,,271,Nanaye/Nawase,,
,,,,,272,Tonkolo,,
,,,,,273,Choro,,
,,,67,Moto,274,Moto kati,,
,,,,,275,Huduma,,
,,,,,276,Warimba,,
,,,,,277,Tisapo,,
,,,,,278,Mangasta,,
,,,68,Gungi,279,Gungi kati,,Sanzawa
,,,,,280,Iramba,,
,,,,,281,Ombage,,
,,,,,282,Nthakala,,
,,,,,283,Majengo,,
,,,69,Sanzawa,284,Kongwa,,
,,,,,285,Mambu,,
,,,,,286,Afasee,,
,,,,,287,Bokota,,
,,,,,288,Songambele,,
,,,,,289,Umbure,,
,,,,,290,Cherejeho,,
,,,70,Birise,291,Birise kati,,
,,,,,292,T'swero,,
,,,,,293,Milongoo,,
,,,,,294,Miyomboni,,
,,,,,295,Masangachuku,,
,17,Mpendo,71,Mpendo,296,Nkande,,Mpendo
,,,,,297,Mpendo kati,,
,,,,,298,Nobila,,
,,,,,299,Lemesi,,
,,,,,300,Nzasa,,
,,,72,Magungu,301,Magungu kati,,
,,,,,302,Mambaka A,,
,,,,,303,Mambaka B,,
,,,,,304,Zalanga,,
,,,73,Hamia,305,Hamia A,,
,,,,,306,Hamia B,,
,,,,,307,Hamia kati,,
,,,,,308,Zezengwaro,,
,,,,,309,Tobai,,
,,,,,310,Kidongo basi,,
,,,74,Kubi,311,Kubi,,
,,,,,312,Mambaka,,
,,,,,313,Mpondi,,
,18,Ovada,75,Ovada,325,Miyomboni,,Ovada
,,,,,326,Twisna,,
,,,,,327,Pamba,,
,,,,,328,Kilimba A,,
,,,,,329,Kilimba B,,
,,,,,330,Manakwa,,
,,,,,331,Gaya,,
,,,,,332,Mbeya,,
,,,,,333,Bombani,,
,,,,,334,Mara,,
,,,,,335,Sweki,,
,,,76,Baaba,319,Shuleni,,
,,,,,320,Marunga,,
,,,,,321,Mendo,,
,,,,,322,Goimba,,
,,,,,323,Kasawe,,
,,,,,324,Sangase,,
,,,77,Jogolo,346,Duree,,Jogolo
,,,,,347,Marebu ,,
,,,,,348,Bombani,,
,,Kinyamsindo,79,Kinyamsindo,340,Darajani,,Kinyamshindo
,,,,,341,Komoro,,
,,,,,342,Msumbiji,,
,,,,,343,Mpakani,,
,,,,,344,Afuma,,
,,,,,34,Khatsaa,,
,,,80,Mengu,314,Bogho,,
,,,,,315,Boro,,
,,,,,316,Lelima,,
,,,,,317,Mekentose,,
,,,,,318,Lebasee,,
,,,81,Takwa,349,Mnadani,,
,,,,,350,Kipingiri,,
,,,,,351,Miyomboni,,
,,,,,352,Bombani,,
,,,,,,,,
,,,,,,,,
,20,Lalta,82,Dinae,336,Jenjeluse,,Lalta disp
,,,,,337,Miembeni,,
,,,,,338,Watima,,
,,,,,339,Kulusi,,
,,,83,Dinae,336,Jenjeluse,,
,,,,,337,Miembeni,,
,,,,,338,Watima,,
,,,,,339,Kulusi,,
,,,82,Ilasee,353,Doyo,,
,,,,,354,Ilasee kati,,
,,,,,355,Urumia,,
,,,,Wairo,356,Wairo shuleni,,
,,,,,357,Bwawani,,
,,,,,358,Wairo kati,,
,,,,,359,Ukombozi,,
,,,,Manantu,360,Wambura,,
,,,83,,361,Mugambe,,
,,,,,362,Kwililise,,
,,,,,363,Gendaru,,
,,,,,364,Irendi B,,
,,,84,Magambua,365,Bwawani,,
,,,,,366,Jangwani,,
,,,,,367,Miyomboni,,
,,,,,368,Barazani,,
,,,,,369,Mendusee,,
,,Lahoda,58,Lahoda,370,Myomboni,,
,,,,,371,Bwawani,,Lahoda disp
,,,,,372,Mbugani Mashariki,,
,,,,,373,Mbugani Magharibi,,
,,,,,374,Miembeni,,
,,,86,Handa,375,Mbugani,,
,,,,,376,Mkolahanje,,
,,,,,377,Mnang'ana,,
,,,,,378,Ilala 'A',,
,,,,,379,Ilala 'B',,
,,,87,Kisande,380,Matumbo,,
,,,,,381,Shauri moyo,,
,,,,,382,Mahimba,,
MONDO,22,Mondo,88,Mondo,383,Araa kati,,Mondo disp
,,,,,384,Araa mkunjo,,
,,,,,385,Pampuka,,
,,,89,Daki,386,Daki chini,,
,,,,,387,Daki juu,,
,,,,,388,Elele,,
,,,90,Waida,389,Waida kati,,
,,,,,390,Kunayo,,
,,,,,391,Bambaye,,
,,,,,392,Shali juu,,
,,,91,Pongai,393,Pongai juu,,
,,,,,394,Pongai kati,,
,,,,,395,Pongai chini,,
,,,106,Piho,444,Sarara,,
,,,,,445,Kwamajala,,
,,,107,Kelema Maziwani,446,Amiti,,
,,,,,447,Chimi,,
,,,,,448,Kitaki,,
,,,,,449,Darajani,,
,,,,,450,Chokobai,,
,,,,,451,Bwawani,,
,,,,,452,Mkoroshini,,
,23,Paranga,92,Kelema Balai,396,Chang'ombe,,Kelema disp
,,,,,397,Mlimani,,
,,,,,398,Ofisi Magharibi,,
,,,,,399,Musi,,
,,,94,Kelema Mashariki,400,Msui,,
,,,,,401,Ofisi Mashariki,,
,,,,,402,Irendi ,,
,,,95,Paranga,403,Miembeni,,
,,,,,404,Masaini,,
,,,,,405,Galani,,
,,,,,406,Tutani,,
,,,96,Isini,407,Chang'ombe,,
,,,,,408,Shuleni,,
,,,,,409,Ofisini,,
,,,97,Sori,410,Sori kati,,
,,,,,411,Sori shaka,,
,,,,,412,Mduwawi,,
,,,,,413,Cheta,,
,,,,,414,Masari,,
,,,98,Cheku 'B',415,Kirumba,,
,,,,,416,Mduwawi,,
,,,,,417,Kwawinto,,
,,,,,418,Mtungumo,,
,,,99,Cheku 'A',419,Kwawinto,,
,,,,,420,Mbugani,,
,,,,,421,Obali,,
,,,,,422,Irendi,,
,,,100,Kelema kuu,423,Kelema kuu,,
,,,,,424,Kelema kati,,
,,,,,425,Ndoroboni,,
,24,Dalai,101,Dalai,426,Luvai,,Tandala disp
,,,,,427,Chang'ombe,,
,,,,,428,Wamgairo,,
,,,,,429,Mgungani,,
,,,102,Tandala,430,Wombe,,
,,,,,431,Uringwi,,
,,,,,432,Holwi,,
,,,103,Njoeni Muone,433,Njoeni muone,,
,,,,,434,Ilolwi,,
,,,,,435,Uwinwi,,
,,,,,436,Kibaoni,,
,,,104,Itirikwi,437,Itirikwi,,
,,,,,438,Kifukulwa,,
,,,,,439,Itamya,,
,,,105,Mtakuja,440,Mbugani,,
,,,,,441,Rufutwi,,
,,,,,442,Rusangi,,
,,,,,443,Mchemwa,,
,25,Jangalo,108,Jangalo,453,Madukani,,Jangalo
,,,,,454,Chakuku,,
,,,,,455,Kivukoni,,
,,,,,456,Msia,,
,,,,,457,Chang'ombe,,
,,,,,458,Chanika,,
,,,109,Mlongia,459,Bustani,,
,,,,,460,Banda ngozi,,
,,,,,461,Isusumya,,
,,,,,462,Ngariba,,
,,,,,463,Tangini,,
,,,,,464,Mtakuja,,
,,,,,465,Sokoine,,
